pair_id,label,class_dir,disaster,disaster_type,pre_image,post_image,pre_json,post_json,building_count,no_damage_buildings,minor_damage_buildings,major_damage_buildings,destroyed_buildings
guatemala-volcano_00000000,no-damage,no_damage,guatemala-volcano,volcano,Full dataset\train\train\images\guatemala-volcano_00000000_pre_disaster.png,Full dataset\train\train\images\guatemala-volcano_00000000_post_disaster.png,Full dataset\train\train\labels\guatemala-volcano_00000000_pre_disaster.json,Full dataset\train\train\labels\guatemala-volcano_00000000_post_disaster.json,10,10,0,0,0
guatemala-volcano_00000001,minor-damage,minor_damage,guatemala-volcano,volcano,Full dataset\train\train\images\guatemala-volcano_00000001_pre_disaster.png,Full dataset\train\train\images\guatemala-volcano_00000001_post_disaster.png,Full dataset\train\train\labels\guatemala-volcano_00000001_pre_disaster.json,Full dataset\train\train\labels\guatemala-volcano_00000001_post_disaster.json,4,0,4,0,0
guatemala-volcano_00000002,destroyed,destroyed,guatemala-volcano,volcano,Full dataset\train\train\images\guatemala-volcano_00000002_pre_disaster.png,Full dataset\train\train\images\guatemala-volcano_00000002_post_disaster.png,Full dataset\train\train\labels\guatemala-volcano_00000002_pre_disaster.json,Full dataset\train\train\labels\guatemala-volcano_00000002_post_disaster.json,1,0,0,0,1
guatemala-volcano_00000006,no-damage,no_damage,guatemala-volcano,volcano,Full dataset\train\train\images\guatemala-volcano_00000006_pre_disaster.png,Full dataset\train\train\images\guatemala-volcano_00000006_post_disaster.png,Full dataset\train\train\labels\guatemala-volcano_00000006_pre_disaster.json,Full dataset\train\train\labels\guatemala-volcano_00000006_post_disaster.json,97,97,0,0,0
guatemala-volcano_00000007,no-damage,no_damage,guatemala-volcano,volcano,Full dataset\train\train\images\guatemala-volcano_00000007_pre_disaster.png,Full dataset\train\train\images\guatemala-volcano_00000007_post_disaster.png,Full dataset\train\train\labels\guatemala-volcano_00000007_pre_disaster.json,Full dataset\train\train\labels\guatemala-volcano_00000007_post_disaster.json,9,9,0,0,0
guatemala-volcano_00000008,no-damage,no_damage,guatemala-volcano,volcano,Full dataset\train\train\images\guatemala-volcano_00000008_pre_disaster.png,Full dataset\train\train\images\guatemala-volcano_00000008_post_disaster.png,Full dataset\train\train\labels\guatemala-volcano_00000008_pre_disaster.json,Full dataset\train\train\labels\guatemala-volcano_00000008_post_disaster.json,0,0,0,0,0
guatemala-volcano_00000010,destroyed,destroyed,guatemala-volcano,volcano,Full dataset\train\train\images\guatemala-volcano_00000010_pre_disaster.png,Full dataset\train\train\images\guatemala-volcano_00000010_post_disaster.png,Full dataset\train\train\labels\guatemala-volcano_00000010_pre_disaster.json,Full dataset\train\train\labels\guatemala-volcano_00000010_post_disaster.json,2,0,0,0,2
guatemala-volcano_00000013,no-damage,no_damage,guatemala-volcano,volcano,Full dataset\train\train\images\guatemala-volcano_00000013_pre_disaster.png,Full dataset\train\train\images\guatemala-volcano_00000013_post_disaster.png,Full dataset\train\train\labels\guatemala-volcano_00000013_pre_disaster.json,Full dataset\train\train\labels\guatemala-volcano_00000013_post_disaster.json,13,13,0,0,0
guatemala-volcano_00000015,no-damage,no_damage,guatemala-volcano,volcano,Full dataset\train\train\images\guatemala-volcano_00000015_pre_disaster.png,Full dataset\train\train\images\guatemala-volcano_00000015_post_disaster.png,Full dataset\train\train\labels\guatemala-volcano_00000015_pre_disaster.json,Full dataset\train\train\labels\guatemala-volcano_00000015_post_disaster.json,131,131,0,0,0
guatemala-volcano_00000016,no-damage,no_damage,guatemala-volcano,volcano,Full dataset\train\train\images\guatemala-volcano_00000016_pre_disaster.png,Full dataset\train\train\images\guatemala-volcano_00000016_post_disaster.png,Full dataset\train\train\labels\guatemala-volcano_00000016_pre_disaster.json,Full dataset\train\train\labels\guatemala-volcano_00000016_post_disaster.json,7,5,2,0,0
guatemala-volcano_00000017,no-damage,no_damage,guatemala-volcano,volcano,Full dataset\train\train\images\guatemala-volcano_00000017_pre_disaster.png,Full dataset\train\train\images\guatemala-volcano_00000017_post_disaster.png,Full dataset\train\train\labels\guatemala-volcano_00000017_pre_disaster.json,Full dataset\train\train\labels\guatemala-volcano_00000017_post_disaster.json,58,58,0,0,0
