pair_id,label,class_dir,disaster,disaster_type,pre_image,post_image,pre_json,post_json,building_count,no_damage_buildings,minor_damage_buildings,major_damage_buildings,destroyed_buildings
hurricane-michael_00000004,destroyed,destroyed,hurricane-michael,wind,Full dataset\train\train\images\hurricane-michael_00000004_pre_disaster.png,Full dataset\train\train\images\hurricane-michael_00000004_post_disaster.png,Full dataset\train\train\labels\hurricane-michael_00000004_pre_disaster.json,Full dataset\train\train\labels\hurricane-michael_00000004_post_disaster.json,3,0,2,0,1
hurricane-harvey_00000280,destroyed,destroyed,hurricane-harvey,flooding,Full dataset\train\train\images\hurricane-harvey_00000280_pre_disaster.png,Full dataset\train\train\images\hurricane-harvey_00000280_post_disaster.png,Full dataset\train\train\labels\hurricane-harvey_00000280_pre_disaster.json,Full dataset\train\train\labels\hurricane-harvey_00000280_post_disaster.json,12,0,4,6,2
hurricane-michael_00000265,destroyed,destroyed,hurricane-michael,wind,Full dataset\train\train\images\hurricane-michael_00000265_pre_disaster.png,Full dataset\train\train\images\hurricane-michael_00000265_post_disaster.png,Full dataset\train\train\labels\hurricane-michael_00000265_pre_disaster.json,Full dataset\train\train\labels\hurricane-michael_00000265_post_disaster.json,24,5,13,4,2
socal-fire_00000510,destroyed,destroyed,socal-fire,fire,Full dataset\train\train\images\socal-fire_00000510_pre_disaster.png,Full dataset\train\train\images\socal-fire_00000510_post_disaster.png,Full dataset\train\train\labels\socal-fire_00000510_pre_disaster.json,Full dataset\train\train\labels\socal-fire_00000510_post_disaster.json,8,1,0,0,7
hurricane-matthew_00000283,destroyed,destroyed,hurricane-matthew,wind,Full dataset\train\train\images\hurricane-matthew_00000283_pre_disaster.png,Full dataset\train\train\images\hurricane-matthew_00000283_post_disaster.png,Full dataset\train\train\labels\hurricane-matthew_00000283_pre_disaster.json,Full dataset\train\train\labels\hurricane-matthew_00000283_post_disaster.json,15,0,5,1,9
hurricane-matthew_00000005,destroyed,destroyed,hurricane-matthew,wind,Full dataset\train\train\images\hurricane-matthew_00000005_pre_disaster.png,Full dataset\train\train\images\hurricane-matthew_00000005_post_disaster.png,Full dataset\train\train\labels\hurricane-matthew_00000005_pre_disaster.json,Full dataset\train\train\labels\hurricane-matthew_00000005_post_disaster.json,71,6,49,15,1
palu-tsunami_00000183,destroyed,destroyed,palu-tsunami,tsunami,Full dataset\train\train\images\palu-tsunami_00000183_pre_disaster.png,Full dataset\train\train\images\palu-tsunami_00000183_post_disaster.png,Full dataset\train\train\labels\palu-tsunami_00000183_pre_disaster.json,Full dataset\train\train\labels\palu-tsunami_00000183_post_disaster.json,125,89,0,2,34
hurricane-michael_00000267,destroyed,destroyed,hurricane-michael,wind,Full dataset\train\train\images\hurricane-michael_00000267_pre_disaster.png,Full dataset\train\train\images\hurricane-michael_00000267_post_disaster.png,Full dataset\train\train\labels\hurricane-michael_00000267_pre_disaster.json,Full dataset\train\train\labels\hurricane-michael_00000267_post_disaster.json,80,43,15,18,4
palu-tsunami_00000048,destroyed,destroyed,palu-tsunami,tsunami,Full dataset\train\train\images\palu-tsunami_00000048_pre_disaster.png,Full dataset\train\train\images\palu-tsunami_00000048_post_disaster.png,Full dataset\train\train\labels\palu-tsunami_00000048_pre_disaster.json,Full dataset\train\train\labels\palu-tsunami_00000048_post_disaster.json,163,155,0,1,7
hurricane-michael_00000051,destroyed,destroyed,hurricane-michael,wind,Full dataset\train\train\images\hurricane-michael_00000051_pre_disaster.png,Full dataset\train\train\images\hurricane-michael_00000051_post_disaster.png,Full dataset\train\train\labels\hurricane-michael_00000051_pre_disaster.json,Full dataset\train\train\labels\hurricane-michael_00000051_post_disaster.json,99,54,33,10,2
socal-fire_00000489,destroyed,destroyed,socal-fire,fire,Full dataset\train\train\images\socal-fire_00000489_pre_disaster.png,Full dataset\train\train\images\socal-fire_00000489_post_disaster.png,Full dataset\train\train\labels\socal-fire_00000489_pre_disaster.json,Full dataset\train\train\labels\socal-fire_00000489_post_disaster.json,9,8,0,0,1
hurricane-matthew_00000241,destroyed,destroyed,hurricane-matthew,wind,Full dataset\train\train\images\hurricane-matthew_00000241_pre_disaster.png,Full dataset\train\train\images\hurricane-matthew_00000241_post_disaster.png,Full dataset\train\train\labels\hurricane-matthew_00000241_pre_disaster.json,Full dataset\train\train\labels\hurricane-matthew_00000241_post_disaster.json,9,0,2,4,3
midwest-flooding_00000130,destroyed,destroyed,midwest-flooding,flooding,Full dataset\train\train\images\midwest-flooding_00000130_pre_disaster.png,Full dataset\train\train\images\midwest-flooding_00000130_post_disaster.png,Full dataset\train\train\labels\midwest-flooding_00000130_pre_disaster.json,Full dataset\train\train\labels\midwest-flooding_00000130_post_disaster.json,11,7,1,1,2
socal-fire_00000819,destroyed,destroyed,socal-fire,fire,Full dataset\train\train\images\socal-fire_00000819_pre_disaster.png,Full dataset\train\train\images\socal-fire_00000819_post_disaster.png,Full dataset\train\train\labels\socal-fire_00000819_pre_disaster.json,Full dataset\train\train\labels\socal-fire_00000819_post_disaster.json,5,3,0,0,2
santa-rosa-wildfire_00000046,destroyed,destroyed,santa-rosa-wildfire,fire,Full dataset\train\train\images\santa-rosa-wildfire_00000046_pre_disaster.png,Full dataset\train\train\images\santa-rosa-wildfire_00000046_post_disaster.png,Full dataset\train\train\labels\santa-rosa-wildfire_00000046_pre_disaster.json,Full dataset\train\train\labels\santa-rosa-wildfire_00000046_post_disaster.json,44,2,0,1,41
midwest-flooding_00000005,destroyed,destroyed,midwest-flooding,flooding,Full dataset\train\train\images\midwest-flooding_00000005_pre_disaster.png,Full dataset\train\train\images\midwest-flooding_00000005_post_disaster.png,Full dataset\train\train\labels\midwest-flooding_00000005_pre_disaster.json,Full dataset\train\train\labels\midwest-flooding_00000005_post_disaster.json,3,0,0,0,3
hurricane-michael_00000060,destroyed,destroyed,hurricane-michael,wind,Full dataset\train\train\images\hurricane-michael_00000060_pre_disaster.png,Full dataset\train\train\images\hurricane-michael_00000060_post_disaster.png,Full dataset\train\train\labels\hurricane-michael_00000060_pre_disaster.json,Full dataset\train\train\labels\hurricane-michael_00000060_post_disaster.json,112,91,15,5,1
socal-fire_00000862,destroyed,destroyed,socal-fire,fire,Full dataset\train\train\images\socal-fire_00000862_pre_disaster.png,Full dataset\train\train\images\socal-fire_00000862_post_disaster.png,Full dataset\train\train\labels\socal-fire_00000862_pre_disaster.json,Full dataset\train\train\labels\socal-fire_00000862_post_disaster.json,27,7,0,0,20
