pair_id,label,class_dir,disaster,disaster_type,pre_image,post_image,pre_json,post_json,building_count,no_damage_buildings,minor_damage_buildings,major_damage_buildings,destroyed_buildings
hurricane-florence_00000462,major-damage,major_damage,hurricane-florence,flooding,Full dataset\train\train\images\hurricane-florence_00000462_pre_disaster.png,Full dataset\train\train\images\hurricane-florence_00000462_post_disaster.png,Full dataset\train\train\labels\hurricane-florence_00000462_pre_disaster.json,Full dataset\train\train\labels\hurricane-florence_00000462_post_disaster.json,27,0,0,27,0
midwest-flooding_00000181,major-damage,major_damage,midwest-flooding,flooding,Full dataset\train\train\images\midwest-flooding_00000181_pre_disaster.png,Full dataset\train\train\images\midwest-flooding_00000181_post_disaster.png,Full dataset\train\train\labels\midwest-flooding_00000181_pre_disaster.json,Full dataset\train\train\labels\midwest-flooding_00000181_post_disaster.json,32,19,1,12,0
hurricane-florence_00000428,major-damage,major_damage,hurricane-florence,flooding,Full dataset\train\train\images\hurricane-florence_00000428_pre_disaster.png,Full dataset\train\train\images\hurricane-florence_00000428_post_disaster.png,Full dataset\train\train\labels\hurricane-florence_00000428_pre_disaster.json,Full dataset\train\train\labels\hurricane-florence_00000428_post_disaster.json,42,0,0,42,0
hurricane-harvey_00000467,major-damage,major_damage,hurricane-harvey,flooding,Full dataset\train\train\images\hurricane-harvey_00000467_pre_disaster.png,Full dataset\train\train\images\hurricane-harvey_00000467_post_disaster.png,Full dataset\train\train\labels\hurricane-harvey_00000467_pre_disaster.json,Full dataset\train\train\labels\hurricane-harvey_00000467_post_disaster.json,220,50,85,85,0
hurricane-florence_00000472,major-damage,major_damage,hurricane-florence,flooding,Full dataset\train\train\images\hurricane-florence_00000472_pre_disaster.png,Full dataset\train\train\images\hurricane-florence_00000472_post_disaster.png,Full dataset\train\train\labels\hurricane-florence_00000472_pre_disaster.json,Full dataset\train\train\labels\hurricane-florence_00000472_post_disaster.json,29,18,5,6,0
hurricane-florence_00000381,major-damage,major_damage,hurricane-florence,flooding,Full dataset\train\train\images\hurricane-florence_00000381_pre_disaster.png,Full dataset\train\train\images\hurricane-florence_00000381_post_disaster.png,Full dataset\train\train\labels\hurricane-florence_00000381_pre_disaster.json,Full dataset\train\train\labels\hurricane-florence_00000381_post_disaster.json,7,0,1,6,0
hurricane-matthew_00000039,major-damage,major_damage,hurricane-matthew,wind,Full dataset\train\train\images\hurricane-matthew_00000039_pre_disaster.png,Full dataset\train\train\images\hurricane-matthew_00000039_post_disaster.png,Full dataset\train\train\labels\hurricane-matthew_00000039_pre_disaster.json,Full dataset\train\train\labels\hurricane-matthew_00000039_post_disaster.json,114,86,22,6,0
hurricane-florence_00000055,major-damage,major_damage,hurricane-florence,flooding,Full dataset\train\train\images\hurricane-florence_00000055_pre_disaster.png,Full dataset\train\train\images\hurricane-florence_00000055_post_disaster.png,Full dataset\train\train\labels\hurricane-florence_00000055_pre_disaster.json,Full dataset\train\train\labels\hurricane-florence_00000055_post_disaster.json,8,1,2,5,0
hurricane-harvey_00000137,major-damage,major_damage,hurricane-harvey,flooding,Full dataset\train\train\images\hurricane-harvey_00000137_pre_disaster.png,Full dataset\train\train\images\hurricane-harvey_00000137_post_disaster.png,Full dataset\train\train\labels\hurricane-harvey_00000137_pre_disaster.json,Full dataset\train\train\labels\hurricane-harvey_00000137_post_disaster.json,252,0,19,233,0
hurricane-florence_00000401,major-damage,major_damage,hurricane-florence,flooding,Full dataset\train\train\images\hurricane-florence_00000401_pre_disaster.png,Full dataset\train\train\images\hurricane-florence_00000401_post_disaster.png,Full dataset\train\train\labels\hurricane-florence_00000401_pre_disaster.json,Full dataset\train\train\labels\hurricane-florence_00000401_post_disaster.json,6,0,0,6,0
