pair_id,label,class_dir,disaster,disaster_type,pre_image,post_image,pre_json,post_json,building_count,no_damage_buildings,minor_damage_buildings,major_damage_buildings,destroyed_buildings
socal-fire_00000402,minor-damage,minor_damage,socal-fire,fire,Full dataset\train\train\images\socal-fire_00000402_pre_disaster.png,Full dataset\train\train\images\socal-fire_00000402_post_disaster.png,Full dataset\train\train\labels\socal-fire_00000402_pre_disaster.json,Full dataset\train\train\labels\socal-fire_00000402_post_disaster.json,6,5,1,0,0
midwest-flooding_00000030,minor-damage,minor_damage,midwest-flooding,flooding,Full dataset\train\train\images\midwest-flooding_00000030_pre_disaster.png,Full dataset\train\train\images\midwest-flooding_00000030_post_disaster.png,Full dataset\train\train\labels\midwest-flooding_00000030_pre_disaster.json,Full dataset\train\train\labels\midwest-flooding_00000030_post_disaster.json,3,2,1,0,0
midwest-flooding_00000023,minor-damage,minor_damage,midwest-flooding,flooding,Full dataset\train\train\images\midwest-flooding_00000023_pre_disaster.png,Full dataset\train\train\images\midwest-flooding_00000023_post_disaster.png,Full dataset\train\train\labels\midwest-flooding_00000023_pre_disaster.json,Full dataset\train\train\labels\midwest-flooding_00000023_post_disaster.json,160,150,10,0,0
hurricane-harvey_00000171,minor-damage,minor_damage,hurricane-harvey,flooding,Full dataset\train\train\images\hurricane-harvey_00000171_pre_disaster.png,Full dataset\train\train\images\hurricane-harvey_00000171_post_disaster.png,Full dataset\train\train\labels\hurricane-harvey_00000171_pre_disaster.json,Full dataset\train\train\labels\hurricane-harvey_00000171_post_disaster.json,82,71,11,0,0
hurricane-matthew_00000051,minor-damage,minor_damage,hurricane-matthew,wind,Full dataset\train\train\images\hurricane-matthew_00000051_pre_disaster.png,Full dataset\train\train\images\hurricane-matthew_00000051_post_disaster.png,Full dataset\train\train\labels\hurricane-matthew_00000051_pre_disaster.json,Full dataset\train\train\labels\hurricane-matthew_00000051_post_disaster.json,57,15,42,0,0
mexico-earthquake_00000039,minor-damage,minor_damage,mexico-earthquake,earthquake,Full dataset\train\train\images\mexico-earthquake_00000039_pre_disaster.png,Full dataset\train\train\images\mexico-earthquake_00000039_post_disaster.png,Full dataset\train\train\labels\mexico-earthquake_00000039_pre_disaster.json,Full dataset\train\train\labels\mexico-earthquake_00000039_post_disaster.json,115,114,1,0,0
midwest-flooding_00000237,minor-damage,minor_damage,midwest-flooding,flooding,Full dataset\train\train\images\midwest-flooding_00000237_pre_disaster.png,Full dataset\train\train\images\midwest-flooding_00000237_post_disaster.png,Full dataset\train\train\labels\midwest-flooding_00000237_pre_disaster.json,Full dataset\train\train\labels\midwest-flooding_00000237_post_disaster.json,49,48,1,0,0
hurricane-florence_00000523,minor-damage,minor_damage,hurricane-florence,flooding,Full dataset\train\train\images\hurricane-florence_00000523_pre_disaster.png,Full dataset\train\train\images\hurricane-florence_00000523_post_disaster.png,Full dataset\train\train\labels\hurricane-florence_00000523_pre_disaster.json,Full dataset\train\train\labels\hurricane-florence_00000523_post_disaster.json,1,0,1,0,0
mexico-earthquake_00000053,minor-damage,minor_damage,mexico-earthquake,earthquake,Full dataset\train\train\images\mexico-earthquake_00000053_pre_disaster.png,Full dataset\train\train\images\mexico-earthquake_00000053_post_disaster.png,Full dataset\train\train\labels\mexico-earthquake_00000053_pre_disaster.json,Full dataset\train\train\labels\mexico-earthquake_00000053_post_disaster.json,412,400,12,0,0
guatemala-volcano_00000001,minor-damage,minor_damage,guatemala-volcano,volcano,Full dataset\train\train\images\guatemala-volcano_00000001_pre_disaster.png,Full dataset\train\train\images\guatemala-volcano_00000001_post_disaster.png,Full dataset\train\train\labels\guatemala-volcano_00000001_pre_disaster.json,Full dataset\train\train\labels\guatemala-volcano_00000001_post_disaster.json,4,0,4,0,0
hurricane-michael_00000098,minor-damage,minor_damage,hurricane-michael,wind,Full dataset\train\train\images\hurricane-michael_00000098_pre_disaster.png,Full dataset\train\train\images\hurricane-michael_00000098_post_disaster.png,Full dataset\train\train\labels\hurricane-michael_00000098_pre_disaster.json,Full dataset\train\train\labels\hurricane-michael_00000098_post_disaster.json,26,16,10,0,0
hurricane-harvey_00000375,minor-damage,minor_damage,hurricane-harvey,flooding,Full dataset\train\train\images\hurricane-harvey_00000375_pre_disaster.png,Full dataset\train\train\images\hurricane-harvey_00000375_post_disaster.png,Full dataset\train\train\labels\hurricane-harvey_00000375_pre_disaster.json,Full dataset\train\train\labels\hurricane-harvey_00000375_post_disaster.json,53,51,2,0,0
midwest-flooding_00000255,minor-damage,minor_damage,midwest-flooding,flooding,Full dataset\train\train\images\midwest-flooding_00000255_pre_disaster.png,Full dataset\train\train\images\midwest-flooding_00000255_post_disaster.png,Full dataset\train\train\labels\midwest-flooding_00000255_pre_disaster.json,Full dataset\train\train\labels\midwest-flooding_00000255_post_disaster.json,7,6,1,0,0
hurricane-michael_00000517,minor-damage,minor_damage,hurricane-michael,wind,Full dataset\train\train\images\hurricane-michael_00000517_pre_disaster.png,Full dataset\train\train\images\hurricane-michael_00000517_post_disaster.png,Full dataset\train\train\labels\hurricane-michael_00000517_pre_disaster.json,Full dataset\train\train\labels\hurricane-michael_00000517_post_disaster.json,162,158,4,0,0
midwest-flooding_00000398,minor-damage,minor_damage,midwest-flooding,flooding,Full dataset\train\train\images\midwest-flooding_00000398_pre_disaster.png,Full dataset\train\train\images\midwest-flooding_00000398_post_disaster.png,Full dataset\train\train\labels\midwest-flooding_00000398_pre_disaster.json,Full dataset\train\train\labels\midwest-flooding_00000398_post_disaster.json,2,1,1,0,0
