pair_id,label,class_dir,disaster,disaster_type,pre_image,post_image,pre_json,post_json,building_count,no_damage_buildings,minor_damage_buildings,major_damage_buildings,destroyed_buildings
hurricane-florence_00000026,no-damage,no_damage,hurricane-florence,flooding,Full dataset\train\train\images\hurricane-florence_00000026_pre_disaster.png,Full dataset\train\train\images\hurricane-florence_00000026_post_disaster.png,Full dataset\train\train\labels\hurricane-florence_00000026_pre_disaster.json,Full dataset\train\train\labels\hurricane-florence_00000026_post_disaster.json,27,27,0,0,0
hurricane-harvey_00000260,no-damage,no_damage,hurricane-harvey,flooding,Full dataset\train\train\images\hurricane-harvey_00000260_pre_disaster.png,Full dataset\train\train\images\hurricane-harvey_00000260_post_disaster.png,Full dataset\train\train\labels\hurricane-harvey_00000260_pre_disaster.json,Full dataset\train\train\labels\hurricane-harvey_00000260_post_disaster.json,0,0,0,0,0
hurricane-florence_00000314,no-damage,no_damage,hurricane-florence,flooding,Full dataset\train\train\images\hurricane-florence_00000314_pre_disaster.png,Full dataset\train\train\images\hurricane-florence_00000314_post_disaster.png,Full dataset\train\train\labels\hurricane-florence_00000314_pre_disaster.json,Full dataset\train\train\labels\hurricane-florence_00000314_post_disaster.json,5,5,0,0,0
hurricane-harvey_00000267,no-damage,no_damage,hurricane-harvey,flooding,Full dataset\train\train\images\hurricane-harvey_00000267_pre_disaster.png,Full dataset\train\train\images\hurricane-harvey_00000267_post_disaster.png,Full dataset\train\train\labels\hurricane-harvey_00000267_pre_disaster.json,Full dataset\train\train\labels\hurricane-harvey_00000267_post_disaster.json,86,86,0,0,0
hurricane-harvey_00000167,no-damage,no_damage,hurricane-harvey,flooding,Full dataset\train\train\images\hurricane-harvey_00000167_pre_disaster.png,Full dataset\train\train\images\hurricane-harvey_00000167_post_disaster.png,Full dataset\train\train\labels\hurricane-harvey_00000167_pre_disaster.json,Full dataset\train\train\labels\hurricane-harvey_00000167_post_disaster.json,0,0,0,0,0
santa-rosa-wildfire_00000050,no-damage,no_damage,santa-rosa-wildfire,fire,Full dataset\train\train\images\santa-rosa-wildfire_00000050_pre_disaster.png,Full dataset\train\train\images\santa-rosa-wildfire_00000050_post_disaster.png,Full dataset\train\train\labels\santa-rosa-wildfire_00000050_pre_disaster.json,Full dataset\train\train\labels\santa-rosa-wildfire_00000050_post_disaster.json,184,184,0,0,0
socal-fire_00001398,no-damage,no_damage,socal-fire,fire,Full dataset\train\train\images\socal-fire_00001398_pre_disaster.png,Full dataset\train\train\images\socal-fire_00001398_post_disaster.png,Full dataset\train\train\labels\socal-fire_00001398_pre_disaster.json,Full dataset\train\train\labels\socal-fire_00001398_post_disaster.json,0,0,0,0,0
hurricane-florence_00000093,no-damage,no_damage,hurricane-florence,flooding,Full dataset\train\train\images\hurricane-florence_00000093_pre_disaster.png,Full dataset\train\train\images\hurricane-florence_00000093_post_disaster.png,Full dataset\train\train\labels\hurricane-florence_00000093_pre_disaster.json,Full dataset\train\train\labels\hurricane-florence_00000093_post_disaster.json,0,0,0,0,0
socal-fire_00000435,no-damage,no_damage,socal-fire,fire,Full dataset\train\train\images\socal-fire_00000435_pre_disaster.png,Full dataset\train\train\images\socal-fire_00000435_post_disaster.png,Full dataset\train\train\labels\socal-fire_00000435_pre_disaster.json,Full dataset\train\train\labels\socal-fire_00000435_post_disaster.json,0,0,0,0,0
socal-fire_00000364,no-damage,no_damage,socal-fire,fire,Full dataset\train\train\images\socal-fire_00000364_pre_disaster.png,Full dataset\train\train\images\socal-fire_00000364_post_disaster.png,Full dataset\train\train\labels\socal-fire_00000364_pre_disaster.json,Full dataset\train\train\labels\socal-fire_00000364_post_disaster.json,0,0,0,0,0
santa-rosa-wildfire_00000368,no-damage,no_damage,santa-rosa-wildfire,fire,Full dataset\train\train\images\santa-rosa-wildfire_00000368_pre_disaster.png,Full dataset\train\train\images\santa-rosa-wildfire_00000368_post_disaster.png,Full dataset\train\train\labels\santa-rosa-wildfire_00000368_pre_disaster.json,Full dataset\train\train\labels\santa-rosa-wildfire_00000368_post_disaster.json,213,213,0,0,0
socal-fire_00000457,no-damage,no_damage,socal-fire,fire,Full dataset\train\train\images\socal-fire_00000457_pre_disaster.png,Full dataset\train\train\images\socal-fire_00000457_post_disaster.png,Full dataset\train\train\labels\socal-fire_00000457_pre_disaster.json,Full dataset\train\train\labels\socal-fire_00000457_post_disaster.json,0,0,0,0,0
hurricane-florence_00000231,no-damage,no_damage,hurricane-florence,flooding,Full dataset\train\train\images\hurricane-florence_00000231_pre_disaster.png,Full dataset\train\train\images\hurricane-florence_00000231_post_disaster.png,Full dataset\train\train\labels\hurricane-florence_00000231_pre_disaster.json,Full dataset\train\train\labels\hurricane-florence_00000231_post_disaster.json,10,10,0,0,0
santa-rosa-wildfire_00000177,no-damage,no_damage,santa-rosa-wildfire,fire,Full dataset\train\train\images\santa-rosa-wildfire_00000177_pre_disaster.png,Full dataset\train\train\images\santa-rosa-wildfire_00000177_post_disaster.png,Full dataset\train\train\labels\santa-rosa-wildfire_00000177_pre_disaster.json,Full dataset\train\train\labels\santa-rosa-wildfire_00000177_post_disaster.json,169,169,0,0,0
