pair_id,label,class_dir,disaster,disaster_type,pre_image,post_image,pre_json,post_json,building_count,no_damage_buildings,minor_damage_buildings,major_damage_buildings,destroyed_buildings
socal-fire_00000881,no-damage,no_damage,socal-fire,fire,Full dataset\train\train\images\socal-fire_00000881_pre_disaster.png,Full dataset\train\train\images\socal-fire_00000881_post_disaster.png,Full dataset\train\train\labels\socal-fire_00000881_pre_disaster.json,Full dataset\train\train\labels\socal-fire_00000881_post_disaster.json,0,0,0,0,0
hurricane-matthew_00000375,no-damage,no_damage,hurricane-matthew,wind,Full dataset\train\train\images\hurricane-matthew_00000375_pre_disaster.png,Full dataset\train\train\images\hurricane-matthew_00000375_post_disaster.png,Full dataset\train\train\labels\hurricane-matthew_00000375_pre_disaster.json,Full dataset\train\train\labels\hurricane-matthew_00000375_post_disaster.json,0,0,0,0,0
hurricane-florence_00000088,major-damage,major_damage,hurricane-florence,flooding,Full dataset\train\train\images\hurricane-florence_00000088_pre_disaster.png,Full dataset\train\train\images\hurricane-florence_00000088_post_disaster.png,Full dataset\train\train\labels\hurricane-florence_00000088_pre_disaster.json,Full dataset\train\train\labels\hurricane-florence_00000088_post_disaster.json,1,0,0,1,0
midwest-flooding_00000062,no-damage,no_damage,midwest-flooding,flooding,Full dataset\train\train\images\midwest-flooding_00000062_pre_disaster.png,Full dataset\train\train\images\midwest-flooding_00000062_post_disaster.png,Full dataset\train\train\labels\midwest-flooding_00000062_pre_disaster.json,Full dataset\train\train\labels\midwest-flooding_00000062_post_disaster.json,190,190,0,0,0
santa-rosa-wildfire_00000252,destroyed,destroyed,santa-rosa-wildfire,fire,Full dataset\train\train\images\santa-rosa-wildfire_00000252_pre_disaster.png,Full dataset\train\train\images\santa-rosa-wildfire_00000252_post_disaster.png,Full dataset\train\train\labels\santa-rosa-wildfire_00000252_pre_disaster.json,Full dataset\train\train\labels\santa-rosa-wildfire_00000252_post_disaster.json,3,0,0,0,3
santa-rosa-wildfire_00000137,destroyed,destroyed,santa-rosa-wildfire,fire,Full dataset\train\train\images\santa-rosa-wildfire_00000137_pre_disaster.png,Full dataset\train\train\images\santa-rosa-wildfire_00000137_post_disaster.png,Full dataset\train\train\labels\santa-rosa-wildfire_00000137_pre_disaster.json,Full dataset\train\train\labels\santa-rosa-wildfire_00000137_post_disaster.json,2,0,0,0,2
midwest-flooding_00000139,destroyed,destroyed,midwest-flooding,flooding,Full dataset\train\train\images\midwest-flooding_00000139_pre_disaster.png,Full dataset\train\train\images\midwest-flooding_00000139_post_disaster.png,Full dataset\train\train\labels\midwest-flooding_00000139_pre_disaster.json,Full dataset\train\train\labels\midwest-flooding_00000139_post_disaster.json,1,0,0,0,1
socal-fire_00001125,no-damage,no_damage,socal-fire,fire,Full dataset\train\train\images\socal-fire_00001125_pre_disaster.png,Full dataset\train\train\images\socal-fire_00001125_post_disaster.png,Full dataset\train\train\labels\socal-fire_00001125_pre_disaster.json,Full dataset\train\train\labels\socal-fire_00001125_post_disaster.json,36,36,0,0,0
socal-fire_00000398,no-damage,no_damage,socal-fire,fire,Full dataset\train\train\images\socal-fire_00000398_pre_disaster.png,Full dataset\train\train\images\socal-fire_00000398_post_disaster.png,Full dataset\train\train\labels\socal-fire_00000398_pre_disaster.json,Full dataset\train\train\labels\socal-fire_00000398_post_disaster.json,0,0,0,0,0
palu-tsunami_00000033,major-damage,major_damage,palu-tsunami,tsunami,Full dataset\train\train\images\palu-tsunami_00000033_pre_disaster.png,Full dataset\train\train\images\palu-tsunami_00000033_post_disaster.png,Full dataset\train\train\labels\palu-tsunami_00000033_pre_disaster.json,Full dataset\train\train\labels\palu-tsunami_00000033_post_disaster.json,19,7,0,4,8
