run,seed,model,accuracy,precision,recall,f1_score
1,42,cnn,0.6785714285714286,0.6903697911455654,0.6785714285714286,0.6815405446085319
1,42,cnn_knn,0.6833333333333333,0.6629996760609006,0.6833333333333333,0.6664758982686326
2,43,cnn,0.6928571428571428,0.7170992858525524,0.6928571428571428,0.6979972246986987
2,43,cnn_knn,0.7214285714285714,0.697335001394692,0.7214285714285714,0.6974058856342406
3,44,cnn,0.65,0.6835198114333453,0.65,0.6628395969289238
3,44,cnn_knn,0.7095238095238096,0.6911525286747272,0.7095238095238096,0.6965124097942736
4,45,cnn,0.6571428571428571,0.6333786791595011,0.6571428571428571,0.640284659397396
4,45,cnn_knn,0.6476190476190476,0.6105318525620539,0.6476190476190476,0.622043568986505
5,46,cnn,0.6761904761904762,0.6660029157861975,0.6761904761904762,0.6428647041986559
5,46,cnn_knn,0.6952380952380952,0.6666805629878978,0.6952380952380952,0.6725732222307063
